itemID,name
202555,"Rusty Blunderbuss"
217842,"Bonechopper"
217843,"Apprentice's Cane"
217844,"Dustworn Saber"
217845,"Defender's Wall"
217846,"Tattered Tunic"
217847,"Shroud of Infernal Shadows"
217848,"Felthread Warbelt"
217849,"Kris of Corrupted Flame"
217850,"Fel Infused Rifle"
217851,"Junglewood Recurve"
278854,"Vampire Blood"
354059,"Prodigy's Staff"
354060,"Tarothae's Vow"
354061,"Sunwoven Satchel"
354062,"Travel Cloak"
354063,"Bottle of Endless Melon Juice"
354064,"Cloak of Owlkin Feathers"
354065,"Lost Rangari Ring"
354066,"Crystalline Crown"
354067,"Exodar Fragment"
354068,"Totem of the Vale"
354069,"Scourgewarped Bow"
354071,"Faded Ward of the East Sanctum"
354072,"Vial of Desolate Waters"
354073,"Falithas Rune"
354074,"Shan'dor Rune"
354075,"Meleath Rune"
354076,"Fundamentals of Arcana - Third Edition"
354077,"Everyday Applications of Pyromancy"
354078,"Principles of Cryomancy - Ultimate Edition, Version 2"
354079,"Fairbreeze Feast"
354083,"Coil of Ula-Tek"
354084,"Fang of Ula-Tek"
354085,"Serpentbane Ring"
354086,"Arkonite Saber"
354087,"Arkonite Amulet"
354088,"Blessed Arkonite Torch"
354089,"Cowlen's Lost Gloves"
354090,"Stillpine Cloak"
354091,"Staff of Sciani"
354092,"Fishbone Band"
354093,"Ravager Quill"
354095,"Tempered Mail"
354096,"Light of the Highborne"
354102,"Bloodweave Bindings"
354103,"Sil'Vedore"
354104,"Blessed Robes"
354105,"Offering to Oocto"
354107,"Stolen Highborne Bracelet"
354108,"Boots of the Wilderness"
354109,"Cryostasis Heart"
354110,"Bloodcrystal Branch"
354111,"Voidweaver Robes"
354112,"Web Wrappings"
354113,"Axxarien Kilt"
354114,"Shield of the Royal Guard"
354115,"Cartographer's Pack"
354116,"Bloodcursed Ring"
354117,"Veridian Eye"
354118,"Ritualistic Nazzivien Headdress"
354119,"Docile Mystwood Lasher"
354120,"Vector Rifle"
354121,"Bloodwater"
354122,"Vindicator's Shoulderguards"
354123,"Ravager Trainer's Spaulders"
354124,"Veridian Scale Mail"
354125,"Warp Engineer's Boots"
354126,"Bloodwashed Gloves"
354158,"Arkonite Orb"
354186,"Heretical Libram"
354236,"Defiled Necklace"
354237,"Dragoncarver"
354238,"Sharpened Dragon Bone"
354239,"Pauldrons of the Ancient Prophet"
354240,"Kazkaz's Ceremonial Mask"
354241,"Atal'ai Alchemy Gloves"
354280,"Pattern: Blue Dragonscale Armor Kit"
354286,"Recipe: Miru Berry Strudel"
354289,"Mushroom Growth Formula"
354292,"Recipe: Freshly Brewed Firewater"
354293,"Pattern: Flameweave Armor Patch"
354467,"Recipe: Miru Berry Wine"
354471,"Mineral Fragment"
354472,"Watcher of Tomes"
354478,"Goldenmist Waterblade"
354514,"Belt of the Shen'dralar"
410015,"Radley's Special Scope"
410053,"Horde Recruitment Insignia"
410054,"Alliance Recruitment Badge"
410120,"Ve'il's Unstable Fel Potion"
410122,"Concentrated Fel Crystal"
410124,"Libram of Amphibious Devotion"
410132,"Mossflayer Lost Totem"
410145,"Pattern: Mossflayer Armor Patch"
410146,"Robin the Young Plaguebat"
410167,"Ebonshadow Breeches"
415056,"Zanzil Vial Pendant"
415071,"Hunting Spear"
450507,"Aloof Tauren's Herb Incense"
450518,"Bones to Munch"
450520,"Lookout Scope"
450582,"Fullmoon Howl"
450583,"Naraxis Fang"
450613,"Feather of the Mother Harpy"
450623,"Lyrath's Pan Flute"
450624,"Amani Relic Amulet"
450625,"Sin'dorei Battle Staff"
450626,"Blight Potion"
450627,"Scourge Blight Staff"
450628,"Broken Windrunner Scotch Bottle"
450629,"Goldenmist Everflowing Water"
450630,"Crystalized Mana Wyrm Core"
450631,"Blackpaw Scavenger Pick"
450632,"Huntress Sentinel Ring"
450633,"Fallen Eye Jewel"
450634,"Dawnstar Paladin Claymore"
450635,"Second War Axe"
450636,"Ancient Amani Shield"
450637,"An'owyn Fragment"
450638,"Lost Bone Necklace"
450655,"Sunstrider Wraps"
450656,"Arcane Tinged Water"
450679,"Crystal Collecting Sack"
450680,"Novice's Regenerating Concoction"
450826,"Arkonite Crystal"
450876,"Fallen Bow"
450885,"Sunbands"
450886,"The "Kodo Egg""
450930,"Haren's Tankard"
450935,"Dropped Bag"
500560,"Lumberjack's Thick Gloves"
500658,"Shockzip's Saw Blade"
500659,"Ironhew's Spare Chopper"
500662,"Kargan's Mask"
500663,"Icehide Cloak"
500664,"Grim's Tankard"
500809,"Grunir's Mug"
500810,"Durnar's Stein"
500811,"Morin's Jug"
500813,"Melika's Ring"
500814,"Goldshire Traveler's Boots"
500815,"Defias Turncoat's Jerkin"
500816,"Supply Runner's Pants"
500817,"Scholar's Ring of Enlightenment"
500818,"Minervia's Pendant of Atonement"
500819,"Tome of Second Chances"
500820,"Ring of Embered Thought"
500821,"Charstone Warband"
500822,"Ashen Dreambinder"
500823,"Verdant Ember Loop"
515033,"Ghostflame Scripture"
515257,"Steam Pressure Totem"
515412,"Friendly Sludgemonster"
515538,"Giant Wood Splinter"
515749,"Notice of Urgent Delivery"
515767,"Hivebreakers’ Ward"
518943,"Billy's Life Savings"
521015,"Featherlight Bow"
521016,"Starfall Splitter"
521017,"Glenwhisper Robes"
521018,"Starbloom Legwraps"
521019,"Moonglade Cord"
521020,"Aldrassil Bindings"
521021,"Woodwalker Hauberk"
521022,"Duskrunner Shield"
521023,"Thornrunner Throwing Star"
521024,"Gloomrider Rifle"
521035,"Duskbat Crossbow"
521037,"Handcrafted Scalemail"
521038,"Pious Wristwraps"
521039,"Bow of Zealotry"
521041,"Hermit's Leggings"
521042,"Farstrider’s Grips"
521043,"Crude Grimscale Sash"
521044,"Decayed Cape"
521045,"Rotten Greatblade"
521046,"Riverwind Hammer"
521047,"Spellribbon Wand"
521048,"Silvermoon Musket"
521049,"Rusty Falchion"
521050,"Duskwither Hatchet"
521051,"Farstrider Pounder"
521052,"Scout's Slicer"
521053,"Hawkrider Boots"
521054,"Amani Band"
521055,"Sunsail Chestguard"
521056,"Faded Sunfeather Wraps"
521057,"Dawnsworn Pendant"
521058,"Apprentice Vestments"
521061,"Softbrush Sash"
521062,"Stonebull Cloth"
521086,"Tiragarde Drape"
521087,"Rocktusk Poker"
521088,"Crocolisk Deterrent"
521090,"Searing Sands Focus"
521093,"Waterlogged Warbelt"
521094,"Rusty Greaves"
521095,"Stillpine Jerkin"
521096,"Feathered Pants"
521097,"Silvermyst Slippers"
521098,"Wrathscale Bulwark"
521099,"Wrathscale Banner"
521100,"Crazed Kurken Libram"
521101,"Darnassus Longbow"
521102,"Skitter Blaster"
521103,"Owlbeast Ritual Stick"
521104,"Fish Gutter"
521105,"Peasant Log Chopper"
521106,"Stillpine Gavel"
521107,"Blood Elf Dagger"
521108,"Wreckage Signet"
521109,"Alliance Cord"
521110,"Ancient Highborne Choker"
521111,"Azuremoon Band"
521112,"Silt Shore Hammer"
521124,"Stolen Greatsword"
521125,"Murloc Piercer"
521126,"Westfall Family Heirloom"
521129,"Pilfered Heirloom"
521134,"Feral Stitched Boots"
521135,"Ravenclaw Infantry Gloves"
521136,"Dalaran Robes"
521137,"Dalaran Hatchet"
521148,"Farstrider Crossbow"
521149,"Thelsamar Hood"
521152,"Grawmug's Cape"
521167,"Bristle Pads"
521168,"Silt Blade"
521169,"Mystwood Glaive"
521170,"Nazzivus Cover"
521171,"Wildkin Kris"
521172,"Bloodmyst Totem"
521173,"Bloodwatch Libram"
521174,"Bloodcursed Gavel"
521175,"Epochbreaker Warmaul"
521178,"Ghostclaw Vest"
521179,"Blight Infused Mantle"
521180,"Dreadscar Girdle"
521181,"Darnassian Grips"
521182,"Kel'gash's War Breeches"
521183,"Tormentor’s Boots"
521184,"Old Lordaeron Cape"
521185,"Sunseeker Libram"
